entity,iso3,file,domain,domain_raw,has_plan,plan,issuing_body,year,year_raw,posture,posture_label
Mexico,MEX,36-Mexico.md,Autonomous systems,Autonomous Systems,True,NOM-107-SCT3-2019 (drones),SCT / AFAC,2019,2019,1,nascent
China,CHN,02-China.md,Nuclear energy,Nuclear Energy,True,"15th FYP for New Energy System Construction (新型能源体系建设""十五五""规划)",NDRC + NEA,2026,2026,4,frontier
China,CHN,02-China.md,Artificial intelligence,Artificial Intelligence,True,"Opinions on Deeply Implementing the ""AI Plus"" Action (关于深入实施""人工智能+""行动的意见)",State Council,2025,2025,4,frontier
China,CHN,02-China.md,Quantum information science,Quantum,True,15th FYP Outline future-industry provisions + earlier 14th FYP quantum measures,NPC / CPC / MOST,2026,2026,4,frontier
China,CHN,02-China.md,Biomedical & biotechnology,Biotechnology,True,14th FYP for Bioeconomy Development (十四五生物经济发展规划),NDRC,2022,2022,4,frontier
China,CHN,02-China.md,Materials & critical minerals,Materials Science,True,14th FYP for Raw Materials Industry Development,MIIT / MOST / MNR,2021,2021,4,frontier
China,CHN,02-China.md,Semiconductors,Semiconductors,True,State Council Notice on IC & Software High-Quality Development,State Council,2020,2020,4,frontier
China,CHN,02-China.md,Digital infrastructure,Digital Tech,True,14th FYP for Digital Economy Development,State Council,2021,2021/22,4,frontier
China,CHN,02-China.md,Autonomous systems,Autonomous Systems,True,NEV Plan (2021–2035) + ICV Standards Guide (2023),State Council; MIIT/SAC,2023,2020; 2023,4,frontier
Japan,JPN,03-Japan.md,Nuclear energy,Nuclear Energy,True,Seventh Strategic Energy Plan,METI / Cabinet,2025,2025,3,mature
Japan,JPN,03-Japan.md,Artificial intelligence,Artificial Intelligence,True,AI Promotion Act + AI Basic Plan (over Integrated Innovation Strategy 2025),Cabinet Office (AI Strategy HQ) / METI / MIC,2025,2025,4,frontier
Japan,JPN,03-Japan.md,Quantum information science,Quantum,True,Quantum Future Society Vision + Quantum Ecosystem Promotion Measures,Cabinet Office,2025,2022 (2025 measures),3,mature
Japan,JPN,03-Japan.md,Biomedical & biotechnology,Biotechnology,True,Bioeconomy Strategy,Cabinet Office,2024,2024,3,mature
Japan,JPN,03-Japan.md,Materials & critical minerals,Materials Science,True,Materials Innovation Strategy + Promotion Measures,Cabinet Office,2026,2021 (2026 measures),3,mature
Japan,JPN,03-Japan.md,Semiconductors,Semiconductors,True,Strategy for Semiconductors and the Digital Industry,METI,2026,2021 (rev. 2023; 2026 rev. underway),4,frontier
Japan,JPN,03-Japan.md,Digital infrastructure,Digital Tech,True,Priority Policy Program for Realizing a Digital Society,Digital Agency,2025,2025,3,mature
Japan,JPN,03-Japan.md,Autonomous systems,Autonomous Systems,True,Mobility DX Strategy + RoAD to the L4,METI / MLIT,2024,2024,3,mature
South Korea,KOR,04-South-Korea.md,Nuclear energy,Nuclear Energy,True,11th Basic Plan for Long-Term Electricity Supply & Demand (12th Plan in formulation),MCEE (formerly MOTIE),2025,2025,4,frontier
South Korea,KOR,04-South-Korea.md,Artificial intelligence,Artificial Intelligence,True,AI Basic Act (in force) + MSIT 2026 Work Plan / 100T-won AI Highway,MSIT / National AI Committee,2026,2026,4,frontier
South Korea,KOR,04-South-Korea.md,Quantum information science,Quantum,True,Quantum Science & Technology Strategy + Promotion Act,MSIT,2023,2023,3,mature
South Korea,KOR,04-South-Korea.md,Biomedical & biotechnology,Biotechnology,True,Advanced Bio Initiative,Cross-ministerial,2024,2024,3,mature
South Korea,KOR,04-South-Korea.md,Materials & critical minerals,Materials Science,True,Strategy for Securing Reliable Critical Minerals Supply,MOTIE,2023,2023,3,mature
South Korea,KOR,04-South-Korea.md,Semiconductors,Semiconductors,True,Semiconductor Mega Cluster Plan + K-Chips Act,MOTIE / MSIT,2024,2024 / 2023,4,frontier
South Korea,KOR,04-South-Korea.md,Digital infrastructure,Digital Tech,True,Digital Strategy of Korea + K-Network 2030,MSIT,2023,2022 / 2023,4,frontier
South Korea,KOR,04-South-Korea.md,Autonomous systems,Autonomous Systems,True,Advanced Robotics Strategy + Mobility Innovation Roadmap,MOTIE / MOLIT,2023,2023 / 2022,3,mature
Taiwan,TWN,22-Taiwan.md,Nuclear energy,Nuclear Energy,True,Nuclear Reactor Facilities Regulation Act amendment (restart),Legislative Yuan / MOEA / NSC,2025,2025,1,nascent
Taiwan,TWN,22-Taiwan.md,Artificial intelligence,Artificial Intelligence,True,AI New Ten Major Construction Plan + AI Basic Act,Executive Yuan / NDC / NSTC / MODA,2026,2026,3,mature
Taiwan,TWN,22-Taiwan.md,Quantum information science,Quantum,True,National Strategy for High-Speed Quantum Computing,NSTC / Academia Sinica / TQPO,2026,2022 / 2026,3,mature
Taiwan,TWN,22-Taiwan.md,Biomedical & biotechnology,Biotechnology,True,Emerging Biomedical Industries Development & Internationalization Program,"MOEA / IDA (+ BIIP, Precision Health)",2026,2026,3,mature
Taiwan,TWN,22-Taiwan.md,Materials & critical minerals,Materials Science,True,CbI materials focus + Critical Minerals / Rare Earth Pilot-Scale Production Plan,NSTC / MOEA / ITRI,2026,2024 / 2026,2,active
Taiwan,TWN,22-Taiwan.md,Semiconductors,Semiconductors,True,Taiwan Chip-based Industrial Innovation Program (CbI),Executive Yuan / NSTC / MOEA,2024,2024,4,frontier
Taiwan,TWN,22-Taiwan.md,Digital infrastructure,Digital Tech,True,Smart Nation Plan / DIGI+,Executive Yuan / MODA,2021,2021,3,mature
Taiwan,TWN,22-Taiwan.md,Autonomous systems,Autonomous Systems,True,Integrated UAV Industry Development Plan / Drone National Team,MOEA / MND / Chiayi,2024,2024,2,active
India,IND,06-India.md,Nuclear energy,Nuclear Energy,True,Nuclear Energy Mission + SHANTI Act 2025,DAE,2025,2025,3,mature
India,IND,06-India.md,Artificial intelligence,Artificial Intelligence,True,IndiaAI Mission + AI Governance Guidelines,MeitY,2025,2024 / 2025,4,frontier
India,IND,06-India.md,Quantum information science,Quantum,True,National Quantum Mission (NQM),DST,2023,2023,3,mature
India,IND,06-India.md,Biomedical & biotechnology,Biotechnology,True,BioE3 Policy,DBT,2024,2024,3,mature
India,IND,06-India.md,Materials & critical minerals,Materials / Critical Minerals,True,National Critical Mineral Mission (NCMM),Ministry of Mines,2025,2025,2,active
India,IND,06-India.md,Semiconductors,Semiconductors,True,India Semiconductor Mission (ISM 2.0),MeitY,2026,2021 / 2026,3,mature
India,IND,06-India.md,Digital infrastructure,Digital Tech,True,Digital India Programme + DPDP Rules 2025,MeitY,2025,2015 / 2025,4,frontier
India,IND,06-India.md,Autonomous systems,Autonomous Systems,True,Draft National Strategy on Robotics + Drone PLI,MeitY / MoCA,2023,2023 / 2021,2,active
Kazakhstan,KAZ,45-Kazakhstan.md,Nuclear energy,Nuclear Energy,True,2024 NPP Referendum + Rosatom/CNNC consortia + Nuclear Industry Development Strategy to 2050,President / Atomic Energy Agency,2026,2024–2026,2,active
Kazakhstan,KAZ,45-Kazakhstan.md,Artificial intelligence,Artificial Intelligence,True,Concept for AI Development 2024–2029 + Law on AI (No. 230-VIII) + Digital Qazaqstan,Ministry of AI & Digital Development / Parliament,2025,2024 / 2025–26,3,mature
Kazakhstan,KAZ,45-Kazakhstan.md,Quantum information science,Quantum,True,Kazakh-Singaporean Center for Quantum Technologies,Min. Science & Higher Education / KazNU,2026,2026,1,nascent
Kazakhstan,KAZ,45-Kazakhstan.md,Biomedical & biotechnology,Biotechnology,True,QazBioPharm / National Center for Biotechnology programs,Ministry of Healthcare / QazBioPharm,1993,1993–,2,active
Kazakhstan,KAZ,45-Kazakhstan.md,Materials & critical minerals,Materials / Critical Minerals,True,Comprehensive Plan for Rare & Rare-Earth Metals 2024–2028 + US/EU critical-minerals deals,Min. Industry & Construction / DBK,2026,2024–2026,3,mature
Kazakhstan,KAZ,45-Kazakhstan.md,Semiconductors,Semiconductors,True,"""One Student, One Chip"" + Suto Kazakhstan plant",Nazarbayev University / JV,2024,2024–25,1,nascent
Kazakhstan,KAZ,45-Kazakhstan.md,Digital infrastructure,Digital Tech,True,Digital Kazakhstan + Digital Qazaqstan (to 2029) + Digital Code (No. 255-VIII),Ministry of AI & Digital Development / Parliament,2026,2017 / 2026,3,mature
Kazakhstan,KAZ,45-Kazakhstan.md,Autonomous systems,Autonomous Systems,True,Rules for the Operation of UAVs,Civil Aviation Committee (CAC),,ongoing,1,nascent
Singapore,SGP,05-Singapore.md,Nuclear energy,Nuclear Energy,True,Energy 2050 Committee Report + nuclear capability framework,EMA,2024,2022 / 2024–25,1,nascent
Singapore,SGP,05-Singapore.md,Artificial intelligence,Artificial Intelligence,True,NAIS 2.0 + Update to NAIS (2026) / National AI Council,Smart Nation Group / MDDI / IMDA,2026,2023 / 2026,4,frontier
Singapore,SGP,05-Singapore.md,Quantum information science,Quantum,True,National Quantum Strategy + RIE2030 Quantum Thematic Plan,NRF / National Quantum Office,2026,2024 / 2026,3,mature
Singapore,SGP,05-Singapore.md,Biomedical & biotechnology,Biotechnology,True,RIE2030 — Human Health & Potential domain,NRF / MOH / A*STAR,2025,2025,4,frontier
Singapore,SGP,05-Singapore.md,Materials & critical minerals,Materials Science,True,"RIE2030 — Manufacturing, Trade & Connectivity (Adv. Materials)",NRF / A*STAR,2025,2025,2,active
Singapore,SGP,05-Singapore.md,Semiconductors,Semiconductors,True,Semiconductor RIE Flagship (RIE2030) + Manufacturing 2030,EDB / A*STAR / MTI,2025,2021 / 2025,4,frontier
Singapore,SGP,05-Singapore.md,Digital infrastructure,Digital Tech,True,Smart Nation 2.0 + Digital Connectivity Blueprint + Digital Infrastructure Act,Smart Nation Group / IMDA / MDDI,2026,2023 / 2024 / 2026,4,frontier
Singapore,SGP,05-Singapore.md,Autonomous systems,Autonomous Systems,True,National Robotics Programme + LTA AV Legislative Framework,A*STAR / NRF / LTA / MOT,2026,2016 / 2026,3,mature
Malaysia,MYS,12-Malaysia.md,Nuclear energy,Nuclear Energy,True,13th Malaysia Plan (RMK13) + NETR,Ministry of Economy / PETRA / MyPOWER,2025,2023/2025,1,nascent
Malaysia,MYS,12-Malaysia.md,Artificial intelligence,Artificial Intelligence,True,AI Technology Action Plan 2026–2030 (succeeds AI-Rmap 2021–2025) + Sovereign AI Cloud,National AI Office (Ministry of Digital),2025,2025/26,3,mature
Malaysia,MYS,12-Malaysia.md,Quantum information science,Quantum,True,National Quantum Policy 2026–2035,MOSTI / MIMOS / MED4IRN,2025,2025,2,active
Malaysia,MYS,12-Malaysia.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Policy 2.0 (NBP 2.0) + National Biotechnology Ethics Guidelines,MOSTI / Bioeconomy Corp,2025,2022 / 2025,3,mature
Malaysia,MYS,12-Malaysia.md,Materials & critical minerals,Materials Science,True,National Advanced Materials Roadmap 2021–2030 + REE raw-export ban / critical-minerals policy,MOSTI / MIGHT / MITI,2025,2021 / 2025,2,active
Malaysia,MYS,12-Malaysia.md,Semiconductors,Semiconductors,True,National Semiconductor Strategy (NSS),MITI,2024,2024,3,mature
Malaysia,MYS,12-Malaysia.md,Digital infrastructure,Digital Tech,True,Malaysia Digital Economy Blueprint (MyDIGITAL),EPU / Ministry of Economy,2021,2021,3,mature
Malaysia,MYS,12-Malaysia.md,Autonomous systems,Autonomous Systems,True,National Robotics Roadmap + MDTAP30 + Low-Altitude Economy (LAE) Roadmap,MOSTI / MRANTI / MOT–CAAM,2026,2021 / 2022 / 2026,2,active
Indonesia,IDN,13-Indonesia.md,Nuclear energy,Nuclear Energy,True,RUKN 2025–2060 + RUPTL 2025–2034; PP 40/2025 (KEN) + NEPIO/Satgas PLTN,ESDM / PLN / DEN / PANRB,2025,2025,2,active
Indonesia,IDN,13-Indonesia.md,Artificial intelligence,Artificial Intelligence,True,RPerpres Peta Jalan KA Nasional 2026–2029 + RPerpres Etika AI (draft; supersedes Stranas KA 2020–2045),Komdigi / BRIN / Bappenas,2025,2025–26,3,mature
Indonesia,IDN,13-Indonesia.md,Quantum information science,Quantum,True,Quantum-Security Roadmap 2025–2030,Unhan RI / BRIN / BSSN / TNI,2025,2025,1,nascent
Indonesia,IDN,13-Indonesia.md,Biomedical & biotechnology,Biotechnology,True,BGSi Blueprint (Digital Health Transformation),Ministry of Health,2022,2022,2,active
Indonesia,IDN,13-Indonesia.md,Materials & critical minerals,Materials / Critical Minerals,True,Hilirisasi Investasi Strategis Roadmap 2023–2040 + Badan Industri Mineral (Perpres 76/2025),Kementerian Investasi & Hilirisasi/BKPM + BIM,2025,2023 / 2025,3,mature
Indonesia,IDN,13-Indonesia.md,Semiconductors,Semiconductors,True,Grand Strategy Industri Semikonduktor Nasional (ICDeC),Bappenas / Kemenperin / Kemdiktisaintek,2026,2026,2,active
Indonesia,IDN,13-Indonesia.md,Digital infrastructure,Digital Tech,True,Visi Indonesia Digital 2045,Komdigi (ex-Kominfo),2023,2023/24,3,mature
Indonesia,IDN,13-Indonesia.md,Autonomous systems,Autonomous Systems,True,Making Indonesia 4.0 + Aerospace/UAS Roadmap 2022–2045,Kemenperin / Bappenas / Kemenhub,2022,2018 / 2022,2,active
Thailand,THA,14-Thailand.md,Nuclear energy,Nuclear Energy,True,Power Development Plan 2024–2037 (PDP 2024),Ministry of Energy / EPPO / EGAT,2024,2024,1,nascent
Thailand,THA,14-Thailand.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy and Action Plan 2022–2027 + draft Thailand AI Act,National AI Committee / MHESI / MDES / ETDA,2025,2022 / 2025–26,3,mature
Thailand,THA,14-Thailand.md,Quantum information science,Quantum,True,"Quantum Technology Roadmap 2020–2029 + ""Quantum-Ready 2030"" (PQC) roadmap",MHESI / NXPO; NCSA,2026,2020 / 2026,2,active
Thailand,THA,14-Thailand.md,Biomedical & biotechnology,Biotechnology,True,BCG Economy Model (Medical & Wellness),Cabinet / MoPH / BIOTEC,2021,2021,3,mature
Thailand,THA,14-Thailand.md,Materials & critical minerals,Materials Science,True,National Materials Tech Framework (within BCG),MTEC / NSTDA / NXPO,2021,2021,2,active
Thailand,THA,14-Thailand.md,Semiconductors,Semiconductors,True,National Semiconductor and Advanced Electronics Strategy,National Semiconductor Board / BOI,2026,2026,3,mature
Thailand,THA,14-Thailand.md,Digital infrastructure,Digital Tech,True,"Digital Economy and Society Development Plan 2018–2037 (+ Digital Government Plan 2025–27, Digital Data Infrastructure Roadmap 2025–29)",MDES / ONDE / DGA,2025,2018 / 2025–26,3,mature
Thailand,THA,14-Thailand.md,Autonomous systems,Autonomous Systems,True,30@30 EV Policy + National Robotics Development Plan,EV Board / BOI / Ministry of Industry,2021,2021/22,2,active
Vietnam,VNM,15-Vietnam.md,Nuclear energy,Nuclear Energy,True,Amended PDP8 + Atomic Energy Law + Resolutions 174/189 (restart),PM / National Assembly,2024,2024–26,2,active
Vietnam,VNM,15-Vietnam.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy (Decision 127) + Law on Artificial Intelligence (134/2025/QH15),PM / National Assembly,2025,2021 / 2025,3,mature
Vietnam,VNM,15-Vietnam.md,Quantum information science,Quantum,True,Quantum Technology Project + PEBR 2026–2035,Politburo / MOST,2026,2026,1,nascent
Vietnam,VNM,15-Vietnam.md,Biomedical & biotechnology,Biotechnology,True,Resolution 36-NQ/TW on Biotechnology,Politburo,2023,2023,2,active
Vietnam,VNM,15-Vietnam.md,Materials & critical minerals,Materials / Rare Earths,True,Mineral Master Plan to 2030 (Decision 866) + Geology & Minerals Law,PM / National Assembly,2023,2023/24,3,mature
Vietnam,VNM,15-Vietnam.md,Semiconductors,Semiconductors,True,Semiconductor Strategy to 2030/2050 (Decision 1018) + HR Program (1017),Prime Minister,2024,2024,3,mature
Vietnam,VNM,15-Vietnam.md,Digital infrastructure,Digital Tech,True,Digital Infrastructure Strategy (Decision 1132) + Law on Digital Technology Industry (71/2025/QH15),PM / National Assembly,2025,2024 / 2025,3,mature
Vietnam,VNM,15-Vietnam.md,Autonomous systems,Autonomous Systems,True,UTM System (Decision 808) + Strategic Tech List (Decision 21/2026),PM / Ministry of Defence,2025,2025/26,2,active
Philippines,PHL,16-Philippines.md,Nuclear energy,Nuclear Energy,True,RA 12305 (PhilATOM Act) + Executive Order 164 + PEP 2023–2050,Office of the President / DOE / PhilATOM,2025,2025 / 2022,1,nascent
Philippines,PHL,16-Philippines.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy of the Philippines (NAIS-PH) + NAISR 2.0,DOST / DTI / CAIR,2025,2025 / 2024,3,mature
Philippines,PHL,16-Philippines.md,Quantum information science,Quantum,True,Quantum Technology Roadmap,DOST-PCIEERD,2035,2021 (ext. to 2035),1,nascent
Philippines,PHL,16-Philippines.md,Biomedical & biotechnology,Biotechnology,True,National Biotechnology Strategy (under PAGTANAW 2050),DOST / DA / NCBP,2025,2025,2,active
Philippines,PHL,16-Philippines.md,Materials & critical minerals,Materials / Critical Minerals,True,Philippine Mineral Industry Roadmap + Advanced Materials R&D,DENR-MGB / DOST-PCIEERD / DTI,2023,2023,2,active
Philippines,PHL,16-Philippines.md,Semiconductors,Semiconductors,True,Semiconductor & Electronics Industry Roadmap (Tatak Pinoy / CREATE MORE),DTI / SEIPI,2024,2024,3,mature
Philippines,PHL,16-Philippines.md,Digital infrastructure,Digital Tech,True,National Digital Connectivity Plan (NDCP) 2024–2028 + E-Governance Act (RA 12254),DICT,2026,2026 / 2025,3,mature
Philippines,PHL,16-Philippines.md,Autonomous systems,Autonomous Systems,True,Inclusive Innovation Industrial Strategy (i³S) + Industry 4.0 Pilot Factory,DTI / DOST-PCIEERD / CAAP,2022,2022–24,1,nascent
Brunei,BRN,37-Brunei.md,Nuclear energy,Nuclear Energy,True,Radiation Protection Act (Ch. 228) + IAEA Milestones Approach,SHENA / PMO Energy Dept,2021,2021,1,nascent
Brunei,BRN,37-Brunei.md,Artificial intelligence,Artificial Intelligence,True,Guide on AI Governance and Ethics + Data and AI Strategy (under DB2030),AITI / Digital Brunei Council,2026,2024 / 2026,2,active
Brunei,BRN,37-Brunei.md,Quantum information science,Quantum,True,Post-Quantum Cryptography Migration Framework (consultation),Cyber Security Brunei (CSB),2025,2025/26,1,nascent
Brunei,BRN,37-Brunei.md,Biomedical & biotechnology,Biotechnology,True,NBSAP + Biomedical Research & Ethics Unit (BREU),Forestry Dept / Ministry of Health,2023,2015 / 2023,2,active
Brunei,BRN,37-Brunei.md,Materials & critical minerals,Materials / Minerals,True,Midstream & Downstream Regulatory Framework,Petroleum Authority (PABD),2019,2019,2,active
Brunei,BRN,37-Brunei.md,Semiconductors,Semiconductors,False,*Explicitly absent*,—,,—,0,absent
Brunei,BRN,37-Brunei.md,Digital infrastructure,Digital Tech,True,Digital Brunei 2030 (DB2030) — succeeds DE2025,Digital Brunei Council / MTIC / AITI,2026,2026,3,mature
Brunei,BRN,37-Brunei.md,Autonomous systems,Autonomous Systems,True,Civil Aviation Order 2006 (drones); robotics absent,Dept of Civil Aviation (DCA),2006,2006,2,active
Cambodia,KHM,38-Cambodia.md,Nuclear energy,Nuclear Energy,True,MoUs on Peaceful Use + Draft Nuclear Law,MME / Dept of Nuclear Science & Technology,2015,2015–17 / draft,1,nascent
Cambodia,KHM,38-Cambodia.md,Artificial intelligence,Artificial Intelligence,True,Draft National AI Strategy 2025–2030 (public consultation),"MPTC (with UNESCO, UN-ESCAP, MISTI)",2025,2025 (draft),2,active
Cambodia,KHM,38-Cambodia.md,Quantum information science,Quantum,False,*Explicitly absent*,—,,—,0,absent
Cambodia,KHM,38-Cambodia.md,Biomedical & biotechnology,Biotechnology,True,Health Strategic Plan 2025–2034 (HSP4) + NAHSR,Ministry of Health / NIPH,2024,2024/25,2,active
Cambodia,KHM,38-Cambodia.md,Materials & critical minerals,Materials / Minerals,True,Mineral Resources Policy 2018–2028 + US–Cambodia Reciprocal Trade Agreement (critical minerals),MME / Ministry of Commerce,2025,2018 / 2025,2,active
Cambodia,KHM,38-Cambodia.md,Semiconductors,Semiconductors,True,Automotive & Electronics Roadmap + EDA Roadmap,CDC / MISTI,2025,2022 / 2025,2,active
Cambodia,KHM,38-Cambodia.md,Digital infrastructure,Digital Tech,True,Digital Economy & Society Policy Framework 2021–2035,SNEC / MPTC / Techo Startup Center,2021,2021,3,mature
Cambodia,KHM,38-Cambodia.md,Autonomous systems,Autonomous Systems,True,UAV Operation Directives & Guidelines,State Secretariat of Civil Aviation (SSCA),,updated,2,active
Laos,LAO,39-Laos.md,Nuclear energy,Nuclear Energy,True,Russia–Laos Intergovernmental Agreement on Peaceful Nuclear Energy (IGA) + 2025–26 Roadmap,MOIC / MEM + Rosatom,2026,2026,2,active
Laos,LAO,39-Laos.md,Artificial intelligence,Artificial Intelligence,True,National AI Strategy (launched) + LaoAI / G-Chat v2 deployment,Ministry of Technology and Communications (MTC) + UNESCO,2026,2026,2,active
Laos,LAO,39-Laos.md,Quantum information science,Quantum,False,*Explicitly absent*,—,,—,0,absent
Laos,LAO,39-Laos.md,Biomedical & biotechnology,Biotechnology,True,"Decision No. 3730/MOH (biopharma, genes, stem cells)",Ministry of Health,2024,2024,2,active
Laos,LAO,39-Laos.md,Materials & critical minerals,Materials / Minerals,True,MOIC Five-Year Plan 2026–2030 (rare-earth management) + Law on Minerals 2017 + trial-mining decrees,MOIC / Ministry of Energy and Mines (MEM),2025,2025/26,3,mature
Laos,LAO,39-Laos.md,Semiconductors,Semiconductors,False,*Nascent / absent*,—,,—,0,absent
Laos,LAO,39-Laos.md,Digital infrastructure,Digital Tech,True,National Digital Transformation Plan 2026–2030 + Digital Economy Vision 2021–2040 + Law on Cybersecurity (gazetted 2026),MTC / National Digital Transformation Committee,2026,2026,3,mature
Laos,LAO,39-Laos.md,Autonomous systems,Autonomous Systems,True,UAV/Drone Regulations,Dept of Civil Aviation (MPWT),,enforced,2,active
Myanmar,MMR,40-Myanmar.md,Nuclear energy,Nuclear Energy,True,Intergovernmental Agreement + Roadmap (Peaceful Use of Atomic Energy); SMR Construction Agreement,MoST / Min. Electric Power + Rosatom,2025,2022/2023; 2025,1,nascent
Myanmar,MMR,40-Myanmar.md,Artificial intelligence,Artificial Intelligence,True,Draft National AI Strategy & Policy 2025–2030,Ministry of Science and Technology,2025,2025 (draft),1,nascent
Myanmar,MMR,40-Myanmar.md,Quantum information science,Quantum,False,*Explicitly absent*,—,,—,0,absent
Myanmar,MMR,40-Myanmar.md,Biomedical & biotechnology,Biotechnology,True,DMR Ethics/Clinical-Trial Guidelines (legacy),"Dept of Medical Research, Ministry of Health",2016,2016 (stalled),1,nascent
Myanmar,MMR,40-Myanmar.md,Materials & critical minerals,Materials / Rare Earths,True,*De facto* KIA taxation/export directives,Kachin Independence Army (KIA/KIO),2024,2024/25,3,mature
Myanmar,MMR,40-Myanmar.md,Semiconductors,Semiconductors,False,*Explicitly absent*,—,,—,0,absent
Myanmar,MMR,40-Myanmar.md,Digital infrastructure,Digital Tech,True,Cybersecurity Law No. 1/2025 (in force 30 Jul 2025); Digital Economy Roadmap 2030,SAC→SSPC / Ministry of Transport & Communications,2025,2025,2,active
Myanmar,MMR,40-Myanmar.md,Autonomous systems,Autonomous Systems,True,Advisory Circular DCA-AC-AIR-01(R1) (bypassed by war),Dept of Civil Aviation (MOTC),2019,2019,3,mature
Australia,AUS,11-Australia.md,Nuclear energy,Nuclear Energy,True,Legislative moratorium (EPBC Act 1999 + ARPANS Act 1998),Parliament / DCCEEW / ARPANSA,1998,1998/99,-1,banned/phased-out
Australia,AUS,11-Australia.md,Artificial intelligence,Artificial Intelligence,True,National AI Plan (supersedes 2024 Safe and Responsible AI Interim Response),DISR / National AI Centre,2025,2025,3,mature
Australia,AUS,11-Australia.md,Quantum information science,Quantum,True,National Quantum Strategy,DISR,2023,2023,3,mature
